,index,qtype,story,perceivers,story_with_perceivers
47,48,first_order_0_no_tom,"['William entered the pantry', 'Hannah entered the pantry', 'The persimmon is in the drawer', 'The drawer is in the pantry', 'William moved the persimmon to the crate', 'The crate is in the pantry', 'Hannah exited the pantry', 'Emma dislikes the pineapple', 'William exited the pantry', 'William loves the hat', 'Hannah entered the dining room']","[['William'], ['Hannah', 'William'], ['William', 'Hannah'], ['William', 'Hannah'], ['William', 'Hannah'], ['William', 'Hannah'], ['Hannah', 'William'], ['Emma'], ['William'], ['William'], ['Hannah']]","[{'William entered the pantry': ['William']}, {'Hannah entered the pantry': ['Hannah', 'William']}, {'The persimmon is in the drawer': ['William', 'Hannah']}, {'The drawer is in the pantry': ['William', 'Hannah']}, {'William moved the persimmon to the crate': ['William', 'Hannah']}, {'The crate is in the pantry': ['William', 'Hannah']}, {'Hannah exited the pantry': ['Hannah', 'William']}, {'Emma dislikes the pineapple': ['Emma']}, {'William exited the pantry': ['William']}, {'William loves the hat': ['William']}, {'Hannah entered the dining room': ['Hannah']}]"
49,50,second_order_1_tom,"['Mason loves the jacket', 'Lucas entered the workshop', 'Aiden entered the workshop', 'The boots is in the suitcase', 'The suitcase is in the workshop', 'Aiden exited the workshop', 'Lucas moved the boots to the bucket', 'The bucket is in the workshop', 'Lucas exited the workshop', 'Aiden entered the porch']","[['Mason'], ['Lucas'], ['Aiden', 'Lucas'], ['Lucas', 'Aiden'], ['Lucas', 'Aiden'], ['Aiden', 'Lucas'], ['Lucas'], ['Lucas'], ['Lucas'], ['Aiden']]","[{'Mason loves the jacket': ['Mason']}, {'Lucas entered the workshop': ['Lucas']}, {'Aiden entered the workshop': ['Aiden', 'Lucas']}, {'The boots is in the suitcase': ['Lucas', 'Aiden']}, {'The suitcase is in the workshop': ['Lucas', 'Aiden']}, {'Aiden exited the workshop': ['Aiden', 'Lucas']}, {'Lucas moved the boots to the bucket': ['Lucas']}, {'The bucket is in the workshop': ['Lucas']}, {'Lucas exited the workshop': ['Lucas']}, {'Aiden entered the porch': ['Aiden']}]"
51,52,first_order_1_no_tom,"['Liam entered the kitchen', 'Carter hates the grapefruit', 'Liam likes the shirt', 'Carter entered the kitchen', 'Emma entered the kitchen', 'The lemon is in the container', 'The container is in the kitchen', 'Carter exited the kitchen', 'Liam moved the lemon to the bottle', 'The bottle is in the kitchen', 'Emma exited the kitchen', 'Liam exited the kitchen', 'Emma entered the crawlspace']","[['Liam'], ['Carter'], ['Liam'], ['Carter', 'Liam'], ['Emma', 'Liam', 'Carter'], ['Liam', 'Carter', 'Emma'], ['Liam', 'Carter', 'Emma'], ['Carter', 'Liam', 'Emma'], ['Liam', 'Emma'], ['Liam', 'Emma'], ['Emma', 'Liam'], ['Liam'], ['Emma']]","[{'Liam entered the kitchen': ['Liam']}, {'Carter hates the grapefruit': ['Carter']}, {'Liam likes the shirt': ['Liam']}, {'Carter entered the kitchen': ['Carter', 'Liam']}, {'Emma entered the kitchen': ['Emma', 'Liam', 'Carter']}, {'The lemon is in the container': ['Liam', 'Carter', 'Emma']}, {'The container is in the kitchen': ['Liam', 'Carter', 'Emma']}, {'Carter exited the kitchen': ['Carter', 'Liam', 'Emma']}, {'Liam moved the lemon to the bottle': ['Liam', 'Emma']}, {'The bottle is in the kitchen': ['Liam', 'Emma']}, {'Emma exited the kitchen': ['Emma', 'Liam']}, {'Liam exited the kitchen': ['Liam']}, {'Emma entered the crawlspace': ['Emma']}]"
53,54,first_order_0_no_tom,"['Avery dislikes the raincoat', 'Hunter entered the master bedroom', 'Lily entered the master bedroom', 'Avery loves the trousers', 'Hunter exited the master bedroom', 'Avery entered the master bedroom', 'The tie is in the container', 'The container is in the master bedroom', 'Lily moved the tie to the crate', 'The crate is in the master bedroom', 'Avery exited the master bedroom', 'Lily exited the master bedroom', 'Avery entered the master bedroom']","[['Avery'], ['Hunter'], ['Lily', 'Hunter'], ['Avery'], ['Hunter', 'Lily'], ['Avery', 'Lily'], ['Lily', 'Avery'], ['Lily', 'Avery'], ['Lily', 'Avery'], ['Lily', 'Avery'], ['Avery', 'Lily'], ['Lily'], ['Avery']]","[{'Avery dislikes the raincoat': ['Avery']}, {'Hunter entered the master bedroom': ['Hunter']}, {'Lily entered the master bedroom': ['Lily', 'Hunter']}, {'Avery loves the trousers': ['Avery']}, {'Hunter exited the master bedroom': ['Hunter', 'Lily']}, {'Avery entered the master bedroom': ['Avery', 'Lily']}, {'The tie is in the container': ['Lily', 'Avery']}, {'The container is in the master bedroom': ['Lily', 'Avery']}, {'Lily moved the tie to the crate': ['Lily', 'Avery']}, {'The crate is in the master bedroom': ['Lily', 'Avery']}, {'Avery exited the master bedroom': ['Avery', 'Lily']}, {'Lily exited the master bedroom': ['Lily']}, {'Avery entered the master bedroom': ['Avery']}]"
59,60,first_order_1_no_tom,"['Avery entered the playroom', 'James entered the playroom', 'Aiden entered the back yard', 'Aiden exited the back yard', 'Aiden likes the watermelon', 'The underpants is in the bathtub', 'The bathtub is in the playroom', 'James moved the underpants to the basket', 'The basket is in the playroom', 'Aiden likes the plum', 'Avery exited the playroom', 'James exited the playroom', 'Avery entered the playroom']","[['Avery'], ['James', 'Avery'], ['Aiden'], ['Aiden'], ['Aiden'], ['Avery', 'James'], ['Avery', 'James'], ['James', 'Avery'], ['Avery', 'James'], ['Aiden'], ['Avery', 'James'], ['James'], ['Avery']]","[{'Avery entered the playroom': ['Avery']}, {'James entered the playroom': ['James', 'Avery']}, {'Aiden entered the back yard': ['Aiden']}, {'Aiden exited the back yard': ['Aiden']}, {'Aiden likes the watermelon': ['Aiden']}, {'The underpants is in the bathtub': ['Avery', 'James']}, {'The bathtub is in the playroom': ['Avery', 'James']}, {'James moved the underpants to the basket': ['James', 'Avery']}, {'The basket is in the playroom': ['Avery', 'James']}, {'Aiden likes the plum': ['Aiden']}, {'Avery exited the playroom': ['Avery', 'James']}, {'James exited the playroom': ['James']}, {'Avery entered the playroom': ['Avery']}]"
60,61,second_order_1_tom,"['Noah entered the kitchen', 'Mila entered the kitchen', 'The pineapple is in the treasure chest', 'The treasure chest is in the kitchen', 'Mila exited the kitchen', 'Mila loves the apple', 'Benjamin entered the kitchen', 'Noah moved the pineapple to the crate', 'The crate is in the kitchen', 'Noah exited the kitchen', 'Mila entered the den']","[['Noah'], ['Mila', 'Noah'], ['Noah', 'Mila'], ['Noah', 'Mila'], ['Mila', 'Noah'], ['Mila'], ['Benjamin', 'Noah'], ['Noah', 'Benjamin'], ['Noah', 'Benjamin'], ['Noah', 'Benjamin'], ['Mila']]","[{'Noah entered the kitchen': ['Noah']}, {'Mila entered the kitchen': ['Mila', 'Noah']}, {'The pineapple is in the treasure chest': ['Noah', 'Mila']}, {'The treasure chest is in the kitchen': ['Noah', 'Mila']}, {'Mila exited the kitchen': ['Mila', 'Noah']}, {'Mila loves the apple': ['Mila']}, {'Benjamin entered the kitchen': ['Benjamin', 'Noah']}, {'Noah moved the pineapple to the crate': ['Noah', 'Benjamin']}, {'The crate is in the kitchen': ['Noah', 'Benjamin']}, {'Noah exited the kitchen': ['Noah', 'Benjamin']}, {'Mila entered the den': ['Mila']}]"
61,62,second_order_1_tom,"['Jackson entered the back yard', 'Jayden entered the back yard', 'The cherry is in the container', 'The container is in the back yard', 'Jackson exited the back yard', 'Jayden moved the cherry to the bucket', 'The bucket is in the back yard', 'Jayden exited the back yard', 'Liam entered the front yard', 'Jackson entered the front yard']","[['Jackson'], ['Jayden', 'Jackson'], ['Jackson', 'Jayden'], ['Jackson', 'Jayden'], ['Jackson', 'Jayden'], ['Jayden'], ['Jayden'], ['Jayden'], ['Liam'], ['Jackson', 'Liam']]","[{'Jackson entered the back yard': ['Jackson']}, {'Jayden entered the back yard': ['Jayden', 'Jackson']}, {'The cherry is in the container': ['Jackson', 'Jayden']}, {'The container is in the back yard': ['Jackson', 'Jayden']}, {'Jackson exited the back yard': ['Jackson', 'Jayden']}, {'Jayden moved the cherry to the bucket': ['Jayden']}, {'The bucket is in the back yard': ['Jayden']}, {'Jayden exited the back yard': ['Jayden']}, {'Liam entered the front yard': ['Liam']}, {'Jackson entered the front yard': ['Jackson', 'Liam']}]"
64,65,second_order_0_tom,"['Emma entered the bedroom', 'Evelyn entered the bedroom', 'The sweatshirt is in the bathtub', 'The bathtub is in the bedroom', 'Lucas dislikes the plum', 'Emma likes the gloves', 'Evelyn exited the bedroom', 'Emma moved the sweatshirt to the crate', 'The crate is in the bedroom']","[['Emma'], ['Evelyn', 'Emma'], ['Emma', 'Evelyn'], ['Emma', 'Evelyn'], ['Lucas'], ['Emma'], ['Evelyn', 'Emma'], ['Emma'], ['Emma']]","[{'Emma entered the bedroom': ['Emma']}, {'Evelyn entered the bedroom': ['Evelyn', 'Emma']}, {'The sweatshirt is in the bathtub': ['Emma', 'Evelyn']}, {'The bathtub is in the bedroom': ['Emma', 'Evelyn']}, {'Lucas dislikes the plum': ['Lucas']}, {'Emma likes the gloves': ['Emma']}, {'Evelyn exited the bedroom': ['Evelyn', 'Emma']}, {'Emma moved the sweatshirt to the crate': ['Emma']}, {'The crate is in the bedroom': ['Emma']}]"
65,66,first_order_0_no_tom,"['James is in the hallway', 'Oliver entered the hallway', 'The tie is in the envelope', 'The envelope is in the hallway', 'James moved the tie to the pantry', 'The pantry is in the hallway', 'Oliver exited the hallway', 'James exited the hallway', 'Oliver entered the kitchen', 'Alexander entered the kitchen', 'James likes the shirt']","[['James'], ['Oliver', 'James'], ['James', 'Oliver'], ['James', 'Oliver'], ['James', 'Oliver'], ['James', 'Oliver'], ['Oliver', 'James'], ['James'], ['Oliver'], ['Alexander', 'Oliver'], ['James']]","[{'James is in the hallway': ['James']}, {'Oliver entered the hallway': ['Oliver', 'James']}, {'The tie is in the envelope': ['James', 'Oliver']}, {'The envelope is in the hallway': ['James', 'Oliver']}, {'James moved the tie to the pantry': ['James', 'Oliver']}, {'The pantry is in the hallway': ['James', 'Oliver']}, {'Oliver exited the hallway': ['Oliver', 'James']}, {'James exited the hallway': ['James']}, {'Oliver entered the kitchen': ['Oliver']}, {'Alexander entered the kitchen': ['Alexander', 'Oliver']}, {'James likes the shirt': ['James']}]"
72,73,first_order_1_no_tom,"['Charlotte is in the porch', 'Lily entered the hall', 'Lily exited the hall', 'Lily likes the cap', 'Oliver entered the porch', 'The cucumber is in the envelope', 'The envelope is in the porch', 'Oliver moved the cucumber to the suitcase', 'The suitcase is in the porch', 'Charlotte exited the porch', 'Lily likes the socks', 'Charlotte entered the hall']","[['Charlotte'], ['Lily'], ['Lily'], ['Lily'], ['Oliver', 'Charlotte'], ['Charlotte', 'Oliver'], ['Charlotte', 'Oliver'], ['Oliver', 'Charlotte'], ['Charlotte', 'Oliver'], ['Charlotte', 'Oliver'], ['Lily'], ['Charlotte']]","[{'Charlotte is in the porch': ['Charlotte']}, {'Lily entered the hall': ['Lily']}, {'Lily exited the hall': ['Lily']}, {'Lily likes the cap': ['Lily']}, {'Oliver entered the porch': ['Oliver', 'Charlotte']}, {'The cucumber is in the envelope': ['Charlotte', 'Oliver']}, {'The envelope is in the porch': ['Charlotte', 'Oliver']}, {'Oliver moved the cucumber to the suitcase': ['Oliver', 'Charlotte']}, {'The suitcase is in the porch': ['Charlotte', 'Oliver']}, {'Charlotte exited the porch': ['Charlotte', 'Oliver']}, {'Lily likes the socks': ['Lily']}, {'Charlotte entered the hall': ['Charlotte']}]"
74,75,first_order_1_no_tom,"['Amelia entered the kitchen', 'Noah entered the kitchen', 'The slacks is in the envelope', 'The envelope is in the kitchen', 'Noah moved the slacks to the treasure chest', 'The treasure chest is in the kitchen', 'Amelia exited the kitchen', 'Noah exited the kitchen', 'Amelia entered the kitchen', 'Amelia likes the carrot']","[['Amelia'], ['Noah', 'Amelia'], ['Amelia', 'Noah'], ['Amelia', 'Noah'], ['Noah', 'Amelia'], ['Amelia', 'Noah'], ['Amelia', 'Noah'], ['Noah'], ['Amelia'], ['Amelia']]","[{'Amelia entered the kitchen': ['Amelia']}, {'Noah entered the kitchen': ['Noah', 'Amelia']}, {'The slacks is in the envelope': ['Amelia', 'Noah']}, {'The envelope is in the kitchen': ['Amelia', 'Noah']}, {'Noah moved the slacks to the treasure chest': ['Noah', 'Amelia']}, {'The treasure chest is in the kitchen': ['Amelia', 'Noah']}, {'Amelia exited the kitchen': ['Amelia', 'Noah']}, {'Noah exited the kitchen': ['Noah']}, {'Amelia entered the kitchen': ['Amelia']}, {'Amelia likes the carrot': ['Amelia']}]"
75,76,first_order_1_no_tom,"['Alexander entered the laundry', 'Sophia entered the laundry', 'The banana is in the cupboard', 'The cupboard is in the laundry', 'Sophia moved the banana to the drawer', 'The drawer is in the laundry', 'Alexander exited the laundry']","[['Alexander'], ['Sophia', 'Alexander'], ['Alexander', 'Sophia'], ['Alexander', 'Sophia'], ['Sophia', 'Alexander'], ['Alexander', 'Sophia'], ['Alexander', 'Sophia']]","[{'Alexander entered the laundry': ['Alexander']}, {'Sophia entered the laundry': ['Sophia', 'Alexander']}, {'The banana is in the cupboard': ['Alexander', 'Sophia']}, {'The cupboard is in the laundry': ['Alexander', 'Sophia']}, {'Sophia moved the banana to the drawer': ['Sophia', 'Alexander']}, {'The drawer is in the laundry': ['Alexander', 'Sophia']}, {'Alexander exited the laundry': ['Alexander', 'Sophia']}]"
76,77,first_order_0_no_tom,"['Evelyn entered the living room', 'Sophia entered the living room', 'The slacks is in the drawer', 'The drawer is in the living room', 'Evelyn exited the living room', 'Sophia hates the t-shirt', 'Evelyn entered the living room', 'Mia hates the raincoat', 'Sophia moved the slacks to the bucket', 'The bucket is in the living room']","[['Evelyn'], ['Sophia', 'Evelyn'], ['Evelyn', 'Sophia'], ['Evelyn', 'Sophia'], ['Evelyn', 'Sophia'], ['Sophia'], ['Evelyn', 'Sophia'], ['Mia'], ['Sophia', 'Evelyn'], ['Sophia', 'Evelyn']]","[{'Evelyn entered the living room': ['Evelyn']}, {'Sophia entered the living room': ['Sophia', 'Evelyn']}, {'The slacks is in the drawer': ['Evelyn', 'Sophia']}, {'The drawer is in the living room': ['Evelyn', 'Sophia']}, {'Evelyn exited the living room': ['Evelyn', 'Sophia']}, {'Sophia hates the t-shirt': ['Sophia']}, {'Evelyn entered the living room': ['Evelyn', 'Sophia']}, {'Mia hates the raincoat': ['Mia']}, {'Sophia moved the slacks to the bucket': ['Sophia', 'Evelyn']}, {'The bucket is in the living room': ['Sophia', 'Evelyn']}]"
80,81,first_order_0_no_tom,"['Amelia entered the living room', 'Carter entered the living room', 'Alexander entered the living room', 'The beans is in the pantry', 'The pantry is in the living room', 'Carter exited the living room', 'Amelia hates the raincoat', 'Carter entered the living room', 'Alexander moved the beans to the bottle', 'The bottle is in the living room']","[['Amelia'], ['Carter', 'Amelia'], ['Alexander', 'Amelia', 'Carter'], ['Amelia', 'Carter', 'Alexander'], ['Amelia', 'Carter', 'Alexander'], ['Carter', 'Amelia', 'Alexander'], ['Amelia'], ['Carter', 'Amelia', 'Alexander'], ['Alexander', 'Amelia', 'Carter'], ['Amelia', 'Alexander', 'Carter']]","[{'Amelia entered the living room': ['Amelia']}, {'Carter entered the living room': ['Carter', 'Amelia']}, {'Alexander entered the living room': ['Alexander', 'Amelia', 'Carter']}, {'The beans is in the pantry': ['Amelia', 'Carter', 'Alexander']}, {'The pantry is in the living room': ['Amelia', 'Carter', 'Alexander']}, {'Carter exited the living room': ['Carter', 'Amelia', 'Alexander']}, {'Amelia hates the raincoat': ['Amelia']}, {'Carter entered the living room': ['Carter', 'Amelia', 'Alexander']}, {'Alexander moved the beans to the bottle': ['Alexander', 'Amelia', 'Carter']}, {'The bottle is in the living room': ['Amelia', 'Alexander', 'Carter']}]"
81,82,second_order_1_no_tom,"['Mia entered the sunroom', 'Abigail likes the cherry', 'Isla entered the garden', 'Abigail entered the sunroom', 'The grapefruit is in the suitcase', 'The suitcase is in the sunroom', 'Abigail moved the grapefruit to the pantry', 'The pantry is in the sunroom', 'Isla exited the garden', 'Mia exited the sunroom', 'Mia entered the garden']","[['Mia'], ['Abigail'], ['Isla'], ['Abigail', 'Mia'], ['Mia', 'Abigail'], ['Mia', 'Abigail'], ['Abigail', 'Mia'], ['Mia', 'Abigail'], ['Isla'], ['Mia', 'Abigail'], ['Mia']]","[{'Mia entered the sunroom': ['Mia']}, {'Abigail likes the cherry': ['Abigail']}, {'Isla entered the garden': ['Isla']}, {'Abigail entered the sunroom': ['Abigail', 'Mia']}, {'The grapefruit is in the suitcase': ['Mia', 'Abigail']}, {'The suitcase is in the sunroom': ['Mia', 'Abigail']}, {'Abigail moved the grapefruit to the pantry': ['Abigail', 'Mia']}, {'The pantry is in the sunroom': ['Mia', 'Abigail']}, {'Isla exited the garden': ['Isla']}, {'Mia exited the sunroom': ['Mia', 'Abigail']}, {'Mia entered the garden': ['Mia']}]"
82,83,first_order_0_no_tom,"['Lily loves the asparagus', 'Charlotte hates the persimmon', 'Charlotte is in the attic', 'Lily entered the attic', 'The pumpkin is in the crate', 'The crate is in the attic', 'Charlotte moved the pumpkin to the suitcase', 'The suitcase is in the attic', 'Isabella entered the bathroom', 'Lily exited the attic', 'Charlotte exited the attic', 'Lily entered the bathroom']","[['Lily'], ['Charlotte'], ['Charlotte'], ['Lily', 'Charlotte'], ['Charlotte', 'Lily'], ['Charlotte', 'Lily'], ['Charlotte', 'Lily'], ['Charlotte', 'Lily'], ['Isabella'], ['Lily', 'Charlotte'], ['Charlotte'], ['Lily', 'Isabella']]","[{'Lily loves the asparagus': ['Lily']}, {'Charlotte hates the persimmon': ['Charlotte']}, {'Charlotte is in the attic': ['Charlotte']}, {'Lily entered the attic': ['Lily', 'Charlotte']}, {'The pumpkin is in the crate': ['Charlotte', 'Lily']}, {'The crate is in the attic': ['Charlotte', 'Lily']}, {'Charlotte moved the pumpkin to the suitcase': ['Charlotte', 'Lily']}, {'The suitcase is in the attic': ['Charlotte', 'Lily']}, {'Isabella entered the bathroom': ['Isabella']}, {'Lily exited the attic': ['Lily', 'Charlotte']}, {'Charlotte exited the attic': ['Charlotte']}, {'Lily entered the bathroom': ['Lily', 'Isabella']}]"
